branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_300.0,300 K,config_135,0.738437,5.248839,,,,,,,,
temperature_300.0,300 K,config_136,0.724276,5.298368,,,,,,,,
temperature_300.0,300 K,config_137,0.831386,5.249517,,,,,,,,
temperature_300.0,300 K,config_138,0.753294,5.320149,,,,,,,,
temperature_300.0,300 K,config_139,0.781869,5.294135,,,,,,,,
temperature_300.0,300 K,config_140,0.804987,5.246212,,,,,,,,
temperature_300.0,300 K,config_141,0.747690,5.305581,,,,,,,,
temperature_300.0,300 K,config_142,0.755981,5.251045,,,,,,,,
temperature_300.0,300 K,config_143,0.744254,5.300562,,,,,,,,
temperature_300.0,300 K,config_144,0.778592,5.231736,,,,,,,,
temperature_300.0,300 K,config_145,0.797732,5.243944,,,,,,,,
temperature_300.0,300 K,config_146,0.717221,5.296651,,,,,,,,
temperature_300.0,300 K,config_147,0.808132,5.226011,,,,,,,,
temperature_300.0,300 K,config_148,0.787281,5.241406,,,,,,,,
temperature_300.0,300 K,config_149,0.813327,5.253166,,,,,,,,
temperature_300.0,300 K,config_150,0.802079,5.248525,,,,,,,,
temperature_520.0,520 K,config_1,0.768355,5.188353,,,,,,,,
temperature_520.0,520 K,config_2,0.789920,5.205985,,,,,,,,
temperature_520.0,520 K,config_3,0.693534,5.278744,,,,,,,,
temperature_520.0,520 K,config_4,0.750124,5.260557,,,,,,,,
temperature_520.0,520 K,config_5,0.707706,5.234787,,,,,,,,
temperature_520.0,520 K,config_6,0.725219,5.268261,,,,,,,,
temperature_520.0,520 K,config_7,0.796670,5.275046,,,,,,,,
temperature_520.0,520 K,config_8,0.771769,5.253547,,,,,,,,
temperature_520.0,520 K,config_9,0.770736,5.250676,,,,,,,,
temperature_520.0,520 K,config_10,0.801476,5.248100,,,,,,,,
temperature_520.0,520 K,config_11,0.801011,5.186248,,,,,,,,
temperature_520.0,520 K,config_12,0.745307,5.201374,,,,,,,,
temperature_520.0,520 K,config_13,0.806407,5.257494,,,,,,,,
temperature_520.0,520 K,config_14,0.770606,5.195777,,,,,,,,
temperature_520.0,520 K,config_15,0.714734,5.195126,,,,,,,,
temperature_520.0,520 K,config_16,0.720675,5.253175,,,,,,,,
temperature_520.0,520 K,config_17,0.775583,5.197950,,,,,,,,
temperature_520.0,520 K,config_18,0.762010,5.248605,,,,,,,,
temperature_520.0,520 K,config_19,0.759869,5.178623,,,,,,,,
temperature_520.0,520 K,config_20,0.762443,5.201294,,,,,,,,
temperature_520.0,520 K,config_21,0.704355,5.258988,,,,,,,,
temperature_520.0,520 K,config_22,0.727165,5.258900,,,,,,,,
temperature_520.0,520 K,config_23,0.756139,5.198602,,,,,,,,
temperature_520.0,520 K,config_24,0.838105,5.192607,,,,,,,,
temperature_520.0,520 K,config_25,0.842333,5.199513,,,,,,,,
temperature_520.0,520 K,config_26,0.839767,5.200806,,,,,,,,
temperature_520.0,520 K,config_27,0.747501,5.261558,,,,,,,,
temperature_520.0,520 K,config_28,0.757456,5.241625,,,,,,,,
temperature_520.0,520 K,config_29,0.800838,5.248370,,,,,,,,
temperature_520.0,520 K,config_30,0.736789,5.257424,,,,,,,,
temperature_520.0,520 K,config_31,0.738555,5.263448,,,,,,,,
temperature_520.0,520 K,config_32,0.663644,5.250385,,,,,,,,
temperature_520.0,520 K,config_33,0.690917,5.315942,,,,,,,,
temperature_520.0,520 K,config_34,0.770749,5.265390,,,,,,,,
temperature_520.0,520 K,config_35,0.720391,5.201904,,,,,,,,
temperature_520.0,520 K,config_36,0.638807,5.251132,,,,,,,,
temperature_520.0,520 K,config_37,0.744744,5.228943,,,,,,,,
temperature_520.0,520 K,config_38,0.753379,5.273971,,,,,,,,
temperature_520.0,520 K,config_39,0.820367,5.204214,,,,,,,,
